iter	Logloss
0	0.6743559109
1	0.640065995
2	0.6113022301
3	0.6042143819
4	0.5811893606
5	0.5730741933
6	0.5549306919
7	0.5394705569
8	0.5354240674
9	0.5228263934
10	0.5212944769
11	0.5106811052
12	0.5079582039
13	0.5073431666
14	0.4998064938
15	0.4920153776
16	0.4903481891
17	0.4837202022
18	0.4795688928
19	0.4785924221
20	0.4742908191
21	0.4735510582
22	0.4733669327
23	0.473338152
24	0.4694067808
25	0.4690947654
26	0.4677526686
27	0.4676417961
28	0.4641670763
29	0.4603973796
30	0.4603512179
31	0.4601313357
32	0.4572483885
33	0.4541568556
34	0.4513584549
35	0.4513548075
36	0.4488141188
37	0.4487633421
38	0.4485652014
39	0.4479611717
40	0.4478130275
41	0.446865931
42	0.4460787382
43	0.4460771616
44	0.4460479626
45	0.4443726356
46	0.4443460975
47	0.4443184912
48	0.4442719223
49	0.4441958812
50	0.4440931245
51	0.4439916088
52	0.4438983334
53	0.4438828238
54	0.4422935725
55	0.4421142034
56	0.4421056316
57	0.4402723932
58	0.4402691315
59	0.440257974
60	0.4396430262
61	0.4396400942
62	0.4379966539
63	0.4379662976
64	0.4379527309
65	0.4379453963
66	0.4379032565
67	0.4378994285
68	0.4378927105
69	0.4378644311
70	0.4363529375
71	0.4351663399
72	0.4351618861
73	0.4341692939
74	0.4341656346
75	0.4341046006
76	0.4340423075
77	0.4339240496
78	0.4328962007
79	0.4317341575
80	0.4306553859
81	0.430653194
82	0.4306377639
83	0.4306268165
84	0.4304843169
85	0.430484252
86	0.4304760849
87	0.4296995749
88	0.4289024828
89	0.4288884678
90	0.4288800152
91	0.4288768589
92	0.4288724976
93	0.428855787
94	0.4288053523
95	0.4287823161
96	0.4278789821
97	0.42703505
98	0.4270168174
99	0.426226402
100	0.4255956123
101	0.4248913824
102	0.4242293642
103	0.4236040411
104	0.4230141068
105	0.4230055254
106	0.422447313
107	0.4219186548
108	0.4214177836
109	0.4209415179
110	0.4209319061
111	0.4204791263
112	0.4200472387
113	0.4200350297
114	0.4196224136
115	0.4196124936
116	0.4192183959
117	0.4188421689
118	0.4184825215
119	0.4181385735
120	0.4178092566
121	0.4174941484
122	0.4171901371
123	0.4168995934
124	0.4166192289
125	0.416349504
126	0.4160903846
127	0.4158406328
128	0.4155994718
129	0.4153675379
130	0.4151421797
131	0.4149259441
132	0.4147167088
133	0.4145143332
134	0.4143184636
135	0.41412857
136	0.4139446171
137	0.413765686
138	0.413593792
139	0.4134262481
140	0.4132634077
141	0.4131053775
142	0.4129519801
143	0.4128033931
144	0.4126582723
145	0.4125175726
146	0.4123803746
147	0.4122473857
148	0.4121177223
149	0.411991242
150	0.4118680414
151	0.4117480346
152	0.4116309278
153	0.4115170052
154	0.411405806
155	0.4112978611
156	0.4111917558
157	0.4110883391
158	0.4109874341
159	0.410889005
160	0.4107921327
161	0.4106981259
162	0.4106062417
163	0.4105162328
164	0.4104287708
165	0.4103427593
166	0.4102585165
167	0.4101759368
168	0.4100953033
169	0.4100165089
170	0.4099394127
171	0.409864015
172	0.4097895371
173	0.4097171468
174	0.4096458885
175	0.40957647
176	0.4095081487
177	0.4094412065
178	0.409374831
179	0.4093103661
180	0.4092469621
181	0.4091851153
182	0.40912433
183	0.4090645351
184	0.4090058372
185	0.4089479884
186	0.4088917317
187	0.4088363951
188	0.4087817308
189	0.408728234
190	0.4086755509
191	0.4086238231
192	0.4085730865
193	0.4085229507
194	0.4084736646
195	0.4084252983
196	0.4083777812
197	0.4083307238
198	0.4082846221
199	0.4082392985
200	0.4081947892
201	0.4081509163
202	0.4081077157
203	0.4080651878
204	0.4080234025
205	0.4079820771
206	0.407941778
207	0.4079018327
208	0.4078625597
209	0.4078237467
210	0.4077858535
211	0.4077482387
212	0.4077114068
213	0.4076749997
214	0.4076391587
215	0.4076036011
216	0.4075685737
217	0.4075342892
218	0.407500253
219	0.4074667115
220	0.4074336304
221	0.4074009381
222	0.4073687769
223	0.4073370404
224	0.4073057989
225	0.4072749465
226	0.4072443418
227	0.4072143033
228	0.4071846186
229	0.4071552878
230	0.4071264166
231	0.4070978643
232	0.4070695239
233	0.4070416793
234	0.4070143295
235	0.4069871923
236	0.4069603382
237	0.406933944
238	0.4069079035
239	0.4068822169
240	0.4068566009
241	0.4068313743
242	0.4068067138
243	0.4067821594
244	0.4067578172
245	0.4067339702
246	0.4067102651
247	0.4066868429
248	0.4066638453
249	0.4066410245
250	0.4066184867
251	0.4065960554
252	0.4065739069
253	0.4065522182
254	0.4065306359
255	0.406509549
256	0.4064883911
257	0.40646741
258	0.4064468894
259	0.4064266868
260	0.4064065196
261	0.4063866001
262	0.4063669992
263	0.4063475395
264	0.4063283631
265	0.4063092574
266	0.4062902931
267	0.406271789
268	0.4062532848
269	0.4062349928
270	0.4062170547
271	0.406199329
272	0.4061814262
273	0.4061639481
274	0.4061466468
275	0.4061295932
276	0.4061123981
277	0.4060956982
278	0.4060789277
279	0.4060625468
280	0.4060461654
281	0.406029961
282	0.4060138982
283	0.4059980473
284	0.4059824094
285	0.4059667709
286	0.405951274
287	0.4059359897
288	0.4059209174
289	0.4059057392
290	0.4058909854
291	0.4058763379
292	0.4058617611
293	0.4058473962
294	0.4058332443
295	0.4058188795
296	0.4058049042
297	0.4057908582
298	0.4057772012
299	0.4057634027
300	0.4057498875
301	0.4057364783
302	0.4057231397
303	0.4057098366
304	0.4056968167
305	0.4056837258
306	0.4056708827
307	0.4056581808
308	0.405645621
309	0.4056331316
310	0.4056208192
311	0.4056084361
312	0.4055963361
313	0.4055843773
314	0.40557256
315	0.4055607433
316	0.4055491384
317	0.4055374276
318	0.4055259288
319	0.4055144656
320	0.4055033207
321	0.4054920344
322	0.4054809247
323	0.4054697094
324	0.4054588476
325	0.4054480565
326	0.4054372303
327	0.4054265807
328	0.4054158957
329	0.405405456
330	0.4053949481
331	0.4053846168
332	0.4053743212
333	0.4053642026
334	0.4053538362
335	0.4053439648
336	0.4053340232
337	0.4053240461
338	0.4053142808
339	0.4053044807
340	0.4052948219
341	0.4052853398
342	0.4052757516
343	0.4052662697
344	0.4052568232
345	0.4052475183
346	0.4052383547
347	0.4052289435
348	0.4052200276
349	0.4052108996
350	0.4052020544
351	0.4051929617
352	0.4051842228
353	0.4051754133
354	0.4051666386
355	0.4051579704
356	0.4051495146
357	0.405140705
358	0.4051323198
359	0.4051239346
360	0.405115514
361	0.4051071642
362	0.4050989559
363	0.4050907124
364	0.4050827165
365	0.4050745084
